2024-12-18 13:31:51 -> Error inserting row ['873', 'Jane Smith', '456 Oak St', '', 'Phoenix', 'NY', '', '123 Elm St', '123 Elm St', 'Los Angeles', '', 'Germany', 'Tops;Sweatshirts;Cargo', 'Small;medium']: Row contains None or empty values
2024-12-19 14:04:29 -> Error inserting row ['', 'Bob Brown', '789 Pine St', '123 Elm St', 'Chicago', 'AZ', 'USA', '101 Maple St', '789 Pine St', '', '', 'Canada', 'Shirts', 'Medium']: Row contains None or empty values
2024-12-19 14:04:29 -> Error inserting row ['148', 'Bob Brown', '101 Maple St', '', 'Los Angeles', 'IL', 'USA', '123 Elm St', '202 Birch St', 'Houston', 'TX', 'UK', 'Tops;Sweatshirts;Cargo', 'Small;medium']: Row contains None or empty values
2024-12-19 14:04:29 -> Error inserting row ['641', '', '', '202 Birch St', 'Houston', '', 'Canada', '', '202 Birch St', 'Los Angeles', 'IL', '', 'Shirts;Pants', 'Medium']: Row contains None or empty values
2024-12-19 14:04:29 -> Error inserting row ['', '', '', '202 Birch St', 'Los Angeles', 'NY', 'UK', '202 Birch St', '123 Elm St', 'Los Angeles', 'AZ', 'Germany', 'Tops;Sweatshirts;Cargo', 'All']: Row contains None or empty values
2024-12-19 14:04:29 -> Error inserting row ['388', 'Jane Smith', '456 Oak St', '456 Oak St', 'Los Angeles', 'NY', '', '101 Maple St', '202 Birch St', 'Houston', '', '', '', 'small;medium;large']: Row contains None or empty values
2024-12-19 14:04:29 -> Error inserting row ['561', 'Bob Brown', '101 Maple St', '101 Maple St', 'Houston', 'IL', 'USA', '789 Pine St', '', '', 'CA', 'UK', ' ', 'Medium']: Row contains None or empty values
2024-12-19 14:04:29 -> Error inserting row ['866', 'Charlie Davis', '101 Maple St', '456 Oak St', 'New York', 'NY', 'Germany', '202 Birch St', '', '', 'TX', 'Germany', '', 'small;medium;large']: Row contains None or empty values
2024-12-19 14:04:29 -> Error inserting row ['758', 'Bob Brown', '789 Pine St', '', 'Phoenix', 'NY', '', '123 Elm St', '101 Maple St', 'Chicago', '', 'UK', '', 'small;medium;large']: Row contains None or empty values
2024-12-19 14:04:29 -> Error inserting row ['944', 'Jane Smith', '123 Elm St', '', '', 'AZ', '', '101 Maple St', '789 Pine St', 'Los Angeles', '', '', 'Tops;Sweatshirts;Cargo', 'small;medium;large']: Row contains None or empty values
2024-12-19 14:04:29 -> Error inserting row ['717', 'Jane Smith', '789 Pine St', '101 Maple St', '', 'TX', 'Australia', '101 Maple St', '', '', 'IL', 'USA', '', '']: Row contains None or empty values
2024-12-19 14:04:29 -> Error inserting row ['983', '', '789 Pine St', '789 Pine St', '', 'TX', 'Australia', '', '789 Pine St', 'Los Angeles', '', 'Germany', 'Shirts', 'Medium']: Row contains None or empty values
2024-12-19 14:09:25 -> Error inserting row ['345', 'Alice Johnson', '456 Oak St', '123 Elm St', 'Houston', '', 'Australia', '456 Oak St', '789 Pine St', 'Los Angeles', 'CA', 'UK', ' ', 'Medium']: Row contains None or empty values
2024-12-19 14:09:25 -> Error inserting row ['', '', '', '123 Elm St', 'Phoenix', 'AZ', 'Canada', '202 Birch St', '789 Pine St', 'Chicago', 'NY', '', '', 'All']: Row contains None or empty values
2024-12-19 14:09:25 -> Error inserting row ['678', '', '123 Elm St', '', 'Los Angeles', '', 'Australia', '789 Pine St', '101 Maple St', '', '', 'Germany', '', '']: Row contains None or empty values
2024-12-19 14:09:25 -> Error inserting row ['', 'Bob Brown', '', '202 Birch St', '', 'CA', 'Australia', '', '456 Oak St', 'New York', '', '', 'Shirts;Pants', 'small;medium;large']: Row contains None or empty values
2024-12-19 14:09:25 -> Error inserting row ['729', 'John Doe', '', '202 Birch St', '', '', 'Canada', '', '202 Birch St', 'Chicago', 'AZ', 'Canada', '', 'All']: Row contains None or empty values
2024-12-19 14:09:25 -> Error inserting row ['211', '', '', '101 Maple St', 'Los Angeles', '', '', '', '101 Maple St', 'New York', '', 'UK', ' ', 'Medium']: Row contains None or empty values
2024-12-19 14:09:25 -> Error inserting row ['942', 'Alice Johnson', '', '', 'Los Angeles', 'NY', '', '123 Elm St', '', 'Phoenix', 'TX', 'USA', '', 'small;medium;large']: Row contains None or empty values
2024-12-19 14:09:25 -> Error inserting row ['804', 'John Doe', '101 Maple St', '456 Oak St', 'Los Angeles', '', 'Germany', '202 Birch St', '101 Maple St', '', 'NY', 'UK', 'Top;Jacket;Hoodies', 'Medium']: Row contains None or empty values
2024-12-19 14:09:25 -> Error inserting row ['', 'Bob Brown', '456 Oak St', '789 Pine St', 'New York', 'CA', 'Australia', '456 Oak St', '789 Pine St', 'Chicago', 'NY', '', '', 'Medium']: Row contains None or empty values
2024-12-19 14:09:25 -> Error inserting row ['516', 'Bob Brown', '202 Birch St', '101 Maple St', 'Chicago', 'AZ', '', '', '123 Elm St', 'Phoenix', 'IL', 'Canada', 'Shirts', 'Large']: Row contains None or empty values
2024-12-19 14:09:25 -> Error inserting row ['252', 'Jane Smith', '789 Pine St', '101 Maple St', 'New York', 'NY', '', '789 Pine St', '789 Pine St', 'Houston', 'AZ', '', ' ', 'Large']: Row contains None or empty values
2024-12-19 14:09:25 -> Error inserting row ['416', '', '', '202 Birch St', 'Los Angeles', 'TX', 'Australia', '789 Pine St', '202 Birch St', 'New York', 'NY', 'Australia', 'Shirts;Pants', 'Small']: Row contains None or empty values
2024-12-19 14:09:25 -> Error inserting row ['864', 'Bob Brown', '', '456 Oak St', 'Phoenix', 'TX', '', '202 Birch St', '202 Birch St', 'Chicago', 'NY', 'USA', 'Shirts;Pants', 'Small']: Row contains None or empty values
2024-12-19 14:09:25 -> Error inserting row ['', 'John Doe', '101 Maple St', '', '', '', 'Canada', '101 Maple St', '456 Oak St', 'Chicago', '', 'Australia', '', 'Medium']: Row contains None or empty values
2024-12-19 14:09:25 -> Error inserting row ['147', 'Charlie Davis', '', '', 'Phoenix', '', 'Australia', '', '789 Pine St', 'Phoenix', 'CA', 'USA', 'Shirts', 'Small;medium']: Row contains None or empty values
2024-12-19 14:09:25 -> Error inserting row ['740', 'Jane Smith', '', '789 Pine St', 'New York', '', '', '101 Maple St', '202 Birch St', 'Los Angeles', 'NY', 'Canada', 'Top;Jacket;Hoodies', '']: Row contains None or empty values
2024-12-19 14:09:25 -> Error inserting row ['380', 'Jane Smith', '101 Maple St', '123 Elm St', 'Los Angeles', '', 'Australia', '789 Pine St', '', '', 'AZ', '', '', 'Large']: Row contains None or empty values
2024-12-19 14:09:25 -> Error inserting row ['675', 'Alice Johnson', '789 Pine St', '123 Elm St', 'Phoenix', 'TX', 'USA', '789 Pine St', '101 Maple St', 'Los Angeles', 'IL', 'USA', 'Top;Jacket;Hoodies', '']: Row contains None or empty values
2024-12-19 14:09:25 -> Error inserting row ['725', 'Alice Johnson', '202 Birch St', '789 Pine St', 'Los Angeles', 'NY', '', '123 Elm St', '101 Maple St', '', 'IL', '', '', '']: Row contains None or empty values
2024-12-19 14:09:25 -> Error inserting row ['970', '', '', '202 Birch St', 'New York', 'IL', '', '101 Maple St', '202 Birch St', 'Los Angeles', 'AZ', 'Germany', 'Tops;Sweatshirts;Cargo', 'small;medium;large']: Row contains None or empty values
2024-12-19 14:11:55 -> Error inserting row ['435', 'John Doe', '101 Maple St', '789 Pine St', 'Houston', '', 'Canada', '101 Maple St', '', 'Los Angeles', 'CA', 'Germany', 'Tops;Sweatshirts;Cargo', '']: Row contains None or empty values
2024-12-19 14:11:55 -> Error inserting row ['804', 'Jane Smith', '456 Oak St', '789 Pine St', 'New York', 'TX', 'USA', '789 Pine St', '123 Elm St', 'Houston', 'TX', '', 'Shirts', 'Medium']: Row contains None or empty values
2024-12-19 14:11:55 -> Error inserting row ['795', 'Charlie Davis', '789 Pine St', '202 Birch St', 'Phoenix', 'NY', 'USA', '789 Pine St', '', 'Los Angeles', '', 'USA', 'Shirts', '']: Row contains None or empty values
2024-12-19 14:11:55 -> Error inserting row ['442', '', '', '101 Maple St', '', 'CA', 'Germany', '', '789 Pine St', '', '', '', 'Top;Jacket;Hoodies', 'All']: Row contains None or empty values
2024-12-19 14:11:55 -> Error inserting row ['283', 'Charlie Davis', '202 Birch St', '', 'Houston', 'IL', '', '', '', 'Phoenix', '', 'Canada', 'Tops;Sweatshirts;Cargo', 'All']: Row contains None or empty values
2024-12-19 14:11:55 -> Error inserting row ['213', 'John Doe', '101 Maple St', '202 Birch St', 'Phoenix', 'TX', 'Germany', '101 Maple St', '', '', '', 'Canada', 'Shirts', 'small;medium;large']: Row contains None or empty values
2024-12-19 14:11:55 -> Error inserting row ['', 'John Doe', '456 Oak St', '202 Birch St', '', 'NY', 'USA', '123 Elm St', '202 Birch St', '', 'AZ', '', 'Top;Jacket;Hoodies', 'Small;medium']: Row contains None or empty values
2024-12-19 14:11:55 -> Error inserting row ['', 'Bob Brown', '', '123 Elm St', 'Los Angeles', 'CA', 'Canada', '456 Oak St', '456 Oak St', '', 'TX', 'Germany', ' ', 'small;medium;large']: Row contains None or empty values
2024-12-19 14:11:55 -> Error inserting row ['', 'John Doe', '101 Maple St', '', 'Chicago', '', '', '202 Birch St', '101 Maple St', '', '', '', 'Tops;Sweatshirts;Cargo', 'Large']: Row contains None or empty values
2024-12-19 14:11:55 -> Error inserting row ['447', 'Bob Brown', '', '101 Maple St', 'Los Angeles', 'TX', 'Canada', '101 Maple St', '789 Pine St', '', 'CA', 'UK', 'Tops;Sweatshirts;Cargo', '']: Row contains None or empty values
2024-12-19 14:11:55 -> Error inserting row ['431', 'Charlie Davis', '', '101 Maple St', 'Los Angeles', 'IL', 'Germany', '', '123 Elm St', '', '', '', 'Tops;Sweatshirts;Cargo', 'Small;medium']: Row contains None or empty values
2024-12-19 14:11:55 -> Error inserting row ['527', 'Alice Johnson', '789 Pine St', '456 Oak St', '', 'CA', 'Australia', '123 Elm St', '101 Maple St', 'Phoenix', '', 'Germany', ' ', 'Large']: Row contains None or empty values
2024-12-19 14:11:55 -> Error inserting row ['297', 'Bob Brown', '123 Elm St', '123 Elm St', 'Phoenix', 'CA', 'USA', '789 Pine St', '123 Elm St', 'Houston', '', '', '', '']: Row contains None or empty values
2024-12-19 14:11:55 -> Error inserting row ['541', 'Bob Brown', '789 Pine St', '123 Elm St', 'Chicago', 'NY', '', '123 Elm St', '789 Pine St', 'Houston', 'TX', 'USA', 'Tops;Sweatshirts;Cargo', 'Medium']: Row contains None or empty values
2024-12-19 14:11:55 -> Error inserting row ['215', 'Charlie Davis', '', '', 'Phoenix', 'NY', 'Australia', '101 Maple St', '', '', '', '', 'Top;Jacket;Hoodies', 'Small;medium']: Row contains None or empty values
2024-12-19 14:11:55 -> Error inserting row ['', 'Alice Johnson', '', '123 Elm St', 'New York', 'AZ', '', '', '', 'Los Angeles', 'TX', '', '', 'All']: Row contains None or empty values
2024-12-19 14:11:55 -> Error inserting row ['903', 'Bob Brown', '202 Birch St', '202 Birch St', 'Phoenix', 'CA', 'UK', '123 Elm St', '789 Pine St', '', '', 'Australia', 'Shirts;Pants', 'Medium']: Row contains None or empty values
2024-12-19 14:11:55 -> Error inserting row ['', 'Jane Smith', '123 Elm St', '101 Maple St', 'Phoenix', 'TX', 'UK', '', '', 'Phoenix', 'NY', 'Australia', '', 'Large']: Row contains None or empty values
2024-12-19 14:11:55 -> Error inserting row ['421', 'Jane Smith', '789 Pine St', '', 'Chicago', 'IL', 'Canada', '789 Pine St', '', '', 'NY', 'Australia', 'Tops;Sweatshirts;Cargo', 'Small;medium']: Row contains None or empty values
2024-12-19 14:11:55 -> Error inserting row ['406', 'John Doe', '101 Maple St', '202 Birch St', 'Houston', 'AZ', 'Germany', '202 Birch St', '', 'Los Angeles', 'NY', 'USA', '', 'Small']: Row contains None or empty values
2024-12-19 14:12:45 -> Error inserting row ['', 'John Doe', '101 Maple St', '', '', 'AZ', 'USA', '456 Oak St', '789 Pine St', 'New York', 'NY', 'UK', '', 'Small']: Row contains None or empty values
2024-12-19 14:12:45 -> Error inserting row ['535', 'Charlie Davis', '', '123 Elm St', 'Houston', '', 'Germany', '', '789 Pine St', 'New York', 'AZ', 'UK', '', 'Small']: Row contains None or empty values
2024-12-19 14:12:45 -> Error inserting row ['', 'Jane Smith', '202 Birch St', '202 Birch St', 'Chicago', 'AZ', 'Australia', '789 Pine St', '123 Elm St', 'New York', '', 'Canada', 'Top;Jacket;Hoodies', '']: Row contains None or empty values
2024-12-19 14:12:45 -> Error inserting row ['931', 'Charlie Davis', '456 Oak St', '123 Elm St', '', 'AZ', '', '', '123 Elm St', 'New York', 'IL', '', 'Top;Jacket;Hoodies', 'Small']: Row contains None or empty values
2024-12-19 14:12:45 -> Error inserting row ['', '', '', '101 Maple St', 'New York', '', '', '202 Birch St', '101 Maple St', 'Los Angeles', 'TX', '', '', 'Medium']: Row contains None or empty values
2024-12-19 14:12:45 -> Error inserting row ['', 'Jane Smith', '101 Maple St', '', 'Phoenix', '', '', '456 Oak St', '', 'Houston', 'CA', 'Canada', '', '']: Row contains None or empty values
2024-12-19 14:12:45 -> Error inserting row ['507', 'Charlie Davis', '789 Pine St', '101 Maple St', 'Los Angeles', 'NY', 'Canada', '202 Birch St', '101 Maple St', 'Houston', 'IL', '', '', 'Small;medium']: Row contains None or empty values
2024-12-19 14:12:45 -> Error inserting row ['732', 'Jane Smith', '101 Maple St', '456 Oak St', 'Phoenix', 'IL', 'Canada', '123 Elm St', '', 'Los Angeles', 'IL', 'USA', ' ', 'small;medium;large']: Row contains None or empty values
2024-12-19 14:12:45 -> Error inserting row ['', 'Bob Brown', '789 Pine St', '', '', 'NY', '', '101 Maple St', '202 Birch St', 'Chicago', '', '', 'Top;Jacket;Hoodies', '']: Row contains None or empty values
2024-12-19 14:12:45 -> Error inserting row ['353', 'Alice Johnson', '123 Elm St', '101 Maple St', '', 'NY', 'UK', '456 Oak St', '202 Birch St', 'Los Angeles', 'AZ', '', ' ', 'small;medium;large']: Row contains None or empty values
2024-12-19 14:12:45 -> Error inserting row ['354', '', '', '101 Maple St', 'Houston', '', 'Canada', '101 Maple St', '', 'Phoenix', 'IL', 'UK', 'Top;Jacket;Hoodies', 'Large']: Row contains None or empty values
2024-12-19 14:12:45 -> Error inserting row ['584', '', '', '202 Birch St', 'Houston', '', 'Australia', '123 Elm St', '789 Pine St', 'Los Angeles', 'IL', 'Canada', 'Tops;Sweatshirts;Cargo', 'small;medium;large']: Row contains None or empty values
2024-12-19 14:12:45 -> Error inserting row ['834', 'Bob Brown', '123 Elm St', '101 Maple St', 'Los Angeles', 'AZ', 'UK', '123 Elm St', '123 Elm St', 'Houston', 'TX', '', 'Top;Jacket;Hoodies', 'Small;medium']: Row contains None or empty values
2024-12-19 14:12:45 -> Error inserting row ['991', '', '202 Birch St', '789 Pine St', '', 'CA', 'USA', '', '456 Oak St', 'Chicago', 'NY', 'Australia', 'Top;Jacket;Hoodies', '']: Row contains None or empty values
2024-12-19 14:12:45 -> Error inserting row ['187', 'Charlie Davis', '', '123 Elm St', 'New York', 'IL', 'Canada', '', '789 Pine St', 'Houston', '', 'Australia', 'Shirts;Pants', 'Small;medium']: Row contains None or empty values
2024-12-19 14:12:45 -> Error inserting row ['892', 'Charlie Davis', '', '', '', 'CA', '', '789 Pine St', '456 Oak St', 'New York', 'NY', '', ' ', 'Small;medium']: Row contains None or empty values
2024-12-19 14:12:45 -> Error inserting row ['891', 'Charlie Davis', '789 Pine St', '101 Maple St', 'Houston', 'AZ', '', '789 Pine St', '456 Oak St', '', 'CA', '', 'Top;Jacket;Hoodies', 'All']: Row contains None or empty values
2024-12-19 14:12:45 -> Error inserting row ['196', 'Bob Brown', '', '101 Maple St', '', 'TX', 'UK', '123 Elm St', '789 Pine St', '', 'IL', '', 'Top;Jacket;Hoodies', 'Medium']: Row contains None or empty values
2024-12-19 14:12:45 -> Error inserting row ['186', '', '', '123 Elm St', '', '', 'Australia', '789 Pine St', '', 'Los Angeles', 'NY', '', '', 'Small;medium']: Row contains None or empty values
2024-12-19 14:12:45 -> Error inserting row ['410', 'Bob Brown', '', '', 'Phoenix', '', 'USA', '456 Oak St', '', '', 'IL', '', 'Tops;Sweatshirts;Cargo', 'Medium']: Row contains None or empty values
2024-12-19 14:12:49 -> Error inserting row ['', 'John Doe', '101 Maple St', '', '', 'AZ', 'USA', '456 Oak St', '789 Pine St', 'New York', 'NY', 'UK', '', 'Small']: Row contains None or empty values
2024-12-19 14:12:49 -> Error inserting row ['535', 'Charlie Davis', '', '123 Elm St', 'Houston', '', 'Germany', '', '789 Pine St', 'New York', 'AZ', 'UK', '', 'Small']: Row contains None or empty values
2024-12-19 14:12:49 -> Error inserting row ['', 'Jane Smith', '202 Birch St', '202 Birch St', 'Chicago', 'AZ', 'Australia', '789 Pine St', '123 Elm St', 'New York', '', 'Canada', 'Top;Jacket;Hoodies', '']: Row contains None or empty values
2024-12-19 14:12:49 -> Error inserting row ['931', 'Charlie Davis', '456 Oak St', '123 Elm St', '', 'AZ', '', '', '123 Elm St', 'New York', 'IL', '', 'Top;Jacket;Hoodies', 'Small']: Row contains None or empty values
